id;date_emition;date_limite;description;deleted
1;2022-11-20T04:24:08;2022-11-19;ROI Sleek deposit;true
2;2022-11-20T05:48:42;2022-11-20;bifurcated explicit SDD;true
3;2022-11-20T10:56:47;2022-11-19;Plastic;false
4;2022-11-20T02:27:14;2022-11-20;Borders Picardie;true
5;2022-11-19T21:12:53;2022-11-20;B2B Fresh;true
6;2022-11-20T08:33:01;2022-11-20;Bedfordshire;false
7;2022-11-19T22:47:24;2022-11-20;Uruguay Fantastic wireless;false
8;2022-11-20T05:33:20;2022-11-20;pixel Mouse;false
9;2022-11-19T22:10:38;2022-11-20;c Franc;false
10;2022-11-20T07:24:21;2022-11-20;Limousin;true
